nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death
Britain,Ground_vehicles,2020-10-03,1.0 ~ 11.3,1.0,124292.0,3332.409762245741,53.63379195764813,0.03833818749396582,0.041124207511344255,1.9655573166414575,1.8034388375760306
Britain,Ground_vehicles,2020-09-30,1.0 ~ 11.3,1.0,125735.0,3376.666218047405,53.298690261263765,0.038882013759096515,0.042304131705571235,1.924435598679763,1.7856826659243648
Britain,Ground_vehicles,2020-09-27,1.0 ~ 11.3,1.0,128656.0,3471.0913205609945,53.05959271234921,0.04002370662852879,0.04358654085312773,1.897160023628902,1.7575907847282677
Britain,Ground_vehicles,2020-09-24,1.0 ~ 11.3,1.0,133298.0,3630.5328900372883,52.75710378250237,0.04103985056039851,0.044083857222163875,1.867074074629777,1.7309204189110117
Britain,Ground_vehicles,2020-09-21,1.0 ~ 11.3,1.0,135697.0,3704.333129465262,52.55672041386323,0.0415435860778057,0.04486908332534986,1.8547547845567698,1.722751939983935
Britain,Ground_vehicles,2020-09-18,1.0 ~ 11.3,1.0,137558.0,3754.284080187128,52.44770518617602,0.0418661219267509,0.045804969540121254,1.8459635935387253,1.7140593058927869
Britain,Ground_vehicles,2020-09-15,1.0 ~ 11.3,1.0,138027.0,3759.1879466819296,52.34810406659567,0.04277894904620111,0.04610677621045158,1.840718410166127,1.7135340911560781
Britain,Ground_vehicles,2020-09-12,1.0 ~ 11.3,1.0,137439.0,3720.976344483908,52.230933359526766,0.04310712388768836,0.04609077481646403,1.849859646825137,1.713114472602391
Britain,Ground_vehicles,2020-09-09,1.0 ~ 11.3,1.0,135169.0,3626.959541529845,52.1406426029637,0.043071562266496013,0.04520134054405966,1.8670463641811363,1.718322544370381
Britain,Ground_vehicles,2020-09-06,1.0 ~ 11.3,1.0,131373.0,3481.6419514156896,52.10775029876763,0.04305785815959139,0.04400736833291468,1.888996140759517,1.7278165985400347
