nation,cls,date,ab_br,ab_lower_br,ab_battles_sum,ab_battles_mean,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death
USA,Ground_vehicles,2021-03-04,1.0 ~ 11.0,1.0,123951.0,1635.1900397853071,60.915925244653124,0.1079690361513824,0.17775685553162138,2.79750465909916,3.1429375317665853
USA,Ground_vehicles,2021-03-01,1.0 ~ 11.0,1.0,125004.0,1661.6487417164553,60.89283054942241,0.108153339093149,0.1775857572557678,2.7979166266679463,3.14658146939298
USA,Ground_vehicles,2021-02-26,1.0 ~ 11.0,1.0,126028.0,1688.9980802074217,60.85146467451677,0.10905124258101373,0.17811113403370676,2.794760926143397,3.1414920493858505
USA,Ground_vehicles,2021-02-23,1.0 ~ 11.0,1.0,127936.0,1768.699930508409,60.74562406203101,0.10764092983991996,0.17926283454227115,2.7879336543271633,3.1342643978239124
USA,Ground_vehicles,2021-02-20,1.0 ~ 11.0,1.0,131789.0,1869.6351281395334,60.58552064284576,0.10649879731995841,0.17508562930138327,2.7726425574213325,3.1251787326711638
USA,Ground_vehicles,2021-02-17,1.0 ~ 11.0,1.0,135241.0,1961.0064969555233,60.38220007246323,0.10450566026574781,0.16912452584645188,2.751765736721852,3.100590131690833
USA,Ground_vehicles,2021-02-14,1.0 ~ 11.0,1.0,137557.0,2027.6149031726068,60.25234993493606,0.1041611113938222,0.16576786350385658,2.745013121833131,3.08998480629848
USA,Ground_vehicles,2021-02-11,1.0 ~ 11.0,1.0,141477.0,2133.568173423444,60.00427588936718,0.10240880143062124,0.15958007308608468,2.7306755868445043,3.064555722838341
USA,Ground_vehicles,2021-02-10,1.0 ~ 11.0,1.0,142842.0,2170.6981633719843,59.937921479676845,0.10204505677601824,0.15634414247910278,2.7255057336077626,3.0555811315999497
USA,Ground_vehicles,2021-02-07,1.0 ~ 11.0,1.0,148239.0,2315.343316793119,59.63046155195326,0.10071775983378194,0.14888942855793685,2.7025872408745335,3.021916971916972
USA,Ground_vehicles,2021-02-04,1.0 ~ 11.0,1.0,150763.0,2380.7964841695716,59.508742993970664,0.1002792462341556,0.1470210197462242,2.6932518588778414,3.007490498331819
USA,Ground_vehicles,2021-02-01,1.0 ~ 11.0,1.0,153595.0,2589.8573210933514,59.31452514730297,0.10119710928090106,0.14541228555617045,2.6739471336957576,2.991358507763924
USA,Ground_vehicles,2021-01-29,1.0 ~ 11.0,1.0,154297.0,2617.454516506046,59.29342735114746,0.10141778518052846,0.1428764655178001,2.664904631975994,2.981654341950913
USA,Ground_vehicles,2021-01-26,1.0 ~ 11.0,1.0,154461.0,2629.951470166148,59.42113310155962,0.09912029573808274,0.141771515139744,2.6667245453544908,2.986949003308278
USA,Ground_vehicles,2021-01-23,1.0 ~ 11.0,1.0,153237.0,2602.4573463545576,59.56691588846035,0.10027826177750804,0.1412361896930898,2.6741238734770323,2.9994014500414385
USA,Ground_vehicles,2021-01-20,1.0 ~ 11.0,1.0,151803.0,2564.8270508487976,59.71500055993623,0.09781624869073732,0.14412929915746067,2.6851921898776703,3.0117033918960763
USA,Ground_vehicles,2021-01-17,1.0 ~ 11.0,1.0,148600.0,2483.859410722297,59.98874030955586,0.09826655450874833,0.1509104979811575,2.705338223418573,3.0317193808882914
USA,Ground_vehicles,2021-01-14,1.0 ~ 11.0,1.0,143795.0,2357.780309236529,60.35018547237386,0.10072206961299073,0.1570204805452206,2.7174814840571653,3.0517069439132096
USA,Ground_vehicles,2021-01-11,1.0 ~ 11.0,1.0,141179.0,2292.246059730319,60.51235275784642,0.1015443514970357,0.15911764497552752,2.721573180147189,3.059859894176896
USA,Ground_vehicles,2021-01-07,1.0 ~ 11.0,1.0,136403.0,2170.7957241898393,60.78253278886828,0.10305469821044992,0.1612328907721971,2.7226269216952708,3.0748836902414163
USA,Ground_vehicles,2021-01-03,1.0 ~ 11.0,1.0,131196.0,2047.7016131081234,61.06968238360926,0.1026208878319461,0.15989610963748896,2.7147701149425285,3.0781191499740843
USA,Ground_vehicles,2020-12-30,1.0 ~ 11.0,1.0,129167.0,1994.5498874841614,61.12330107535206,0.10296561815324348,0.15952023349617162,2.7046442202729803,3.0696511492873566
USA,Ground_vehicles,2020-12-27,1.0 ~ 11.0,1.0,127310.0,1950.8676208991178,61.15066106354567,0.10237271227711886,0.1590171235566727,2.694335166129919,3.059107532793968
USA,Ground_vehicles,2020-12-24,1.0 ~ 11.0,1.0,125850.0,1927.5767236127663,61.24162852602304,0.09906928883591579,0.15430727056019067,2.686522844656337,3.0489189511323014
USA,Ground_vehicles,2020-12-21,1.0 ~ 11.0,1.0,124772.0,1920.2229283546521,61.28181418908089,0.0977389157823871,0.15024620908537173,2.6848005962876287,3.0480201487513225
USA,Ground_vehicles,2020-12-18,1.0 ~ 11.0,1.0,123647.0,1907.6770063163685,61.24819744919003,0.09521169134714147,0.14312219463472628,2.681795676401368,3.0489825066520018
USA,Ground_vehicles,2020-12-15,1.0 ~ 11.0,1.0,122606.0,1891.01233544851,61.189248323899314,0.09353710258878033,0.13777816746325627,2.686047583315662,3.056503270639284
USA,Ground_vehicles,2020-12-12,1.0 ~ 11.0,1.0,121228.0,1868.1592452513719,61.13071600620319,0.09169416306463854,0.13380514402613256,2.692002507671495,3.0713589269805652
USA,Ground_vehicles,2020-12-09,1.0 ~ 11.0,1.0,119534.0,1849.9988031299322,61.22360709086955,0.08980214834273094,0.13636488363143542,2.708201097595663,3.1062553750397375
USA,Ground_vehicles,2020-12-06,1.0 ~ 11.0,1.0,117757.0,1831.8249018458919,61.32272569783537,0.08824885144832155,0.1382309331929312,2.7212442572416076,3.1331785796173475
USA,Ground_vehicles,2020-12-03,1.0 ~ 11.0,1.0,116269.0,1808.9878223692267,61.43702207811196,0.08845083384221075,0.1369563684215053,2.7341551918396134,3.154682245482459
USA,Ground_vehicles,2020-11-30,1.0 ~ 11.0,1.0,113738.0,1774.0505095461663,61.64993027835904,0.08856907981501344,0.1392752642036962,2.752450104626422,3.1921187290087745
USA,Ground_vehicles,2020-11-27,1.0 ~ 11.0,1.0,113764.0,1772.0775833136602,61.683638409338634,0.08995833479835448,0.1446945430892022,2.7435179845996975,3.203958194156323
USA,Ground_vehicles,2020-11-23,1.0 ~ 11.0,1.0,114781.0,1773.205595334552,61.53308160758314,0.09252986121396399,0.15119479704829195,2.719230360425506,3.208833430620051
USA,Ground_vehicles,2020-11-20,1.0 ~ 11.0,1.0,117110.0,1795.801903623374,61.351357697890876,0.09660105883357527,0.15690615660490137,2.693356075484587,3.202343950132354
USA,Ground_vehicles,2020-11-17,1.0 ~ 11.0,1.0,120313.0,1835.446007081529,61.28082933681314,0.1012129196346197,0.16523742238993291,2.670497535594657,3.1984421467339357
USA,Ground_vehicles,2020-11-14,1.0 ~ 11.0,1.0,123832.0,1879.841360760662,61.14276067575425,0.10635724206990116,0.1740550100135668,2.645670343691453,3.1924230408941145
USA,Ground_vehicles,2020-11-11,1.0 ~ 11.0,1.0,127760.0,1934.7545647531085,60.943977066374444,0.1105889949906074,0.1831030056355667,2.6194271289918594,3.1844409830932996
USA,Ground_vehicles,2020-11-05,1.0 ~ 11.0,1.0,134207.0,2019.0279660382485,60.35077946753894,0.11719947543719776,0.18845522215681745,2.559070242237737,3.1351962267243887
USA,Ground_vehicles,2020-11-02,1.0 ~ 11.0,1.0,137853.0,2076.9694647127562,59.90396052316599,0.11819430842999427,0.18840474998730533,2.5190498574568556,3.0923374173938902
USA,Ground_vehicles,2020-10-30,1.0 ~ 11.0,1.0,138140.0,2086.7376170999746,59.7506308817142,0.11782184740118719,0.1859362965107862,2.5129091501375416,3.088416171999421
USA,Ground_vehicles,2020-10-27,1.0 ~ 11.0,1.0,135982.0,2062.4621859265685,59.81441448132841,0.11623692841699637,0.1814772543424865,2.53488608786457,3.1120368872350745
USA,Ground_vehicles,2020-10-24,1.0 ~ 11.0,1.0,132619.0,2022.1197955008245,60.03465627097172,0.11525347046803248,0.17511254043538255,2.5771942934270355,3.1461738514089235
USA,Ground_vehicles,2020-10-21,1.0 ~ 11.0,1.0,130224.0,1993.8245058697394,60.16617612728836,0.11422932792726379,0.17334093561862635,2.6072658649711267,3.168978145349551
USA,Ground_vehicles,2020-10-18,1.0 ~ 11.0,1.0,126461.0,1953.812374246003,60.360095286293806,0.11253461541502913,0.16949051486228955,2.6390708597907655,3.1824897794576983
USA,Ground_vehicles,2020-10-15,1.0 ~ 11.0,1.0,123623.0,1933.0424186553362,60.511696690745254,0.10897996327544228,0.16291701382428836,2.662882068870679,3.176032049052361
USA,Ground_vehicles,2020-10-12,1.0 ~ 11.0,1.0,121577.0,1921.3498806361008,60.61312575569392,0.10380359771996349,0.1539920379677077,2.6787875996282193,3.1624578662082468
USA,Ground_vehicles,2020-10-09,1.0 ~ 11.0,1.0,121432.0,1963.3224813260174,60.67244787206009,0.098522712299888,0.14258655049739774,2.681109674550365,3.1366340009223275
USA,Ground_vehicles,2020-10-06,1.0 ~ 11.0,1.0,122937.0,2048.673306188187,60.75271147010258,0.0930829611915046,0.13367334488396496,2.675781335155405,3.1078265290351967
USA,Ground_vehicles,2020-10-03,1.0 ~ 11.0,1.0,126592.0,2207.206180259642,60.74183716190597,0.08928850164307381,0.12520633215369062,2.6584581174165822,3.0550909220171896
USA,Ground_vehicles,2020-09-30,1.0 ~ 11.0,1.0,129659.0,2307.929608471158,60.672594343624425,0.08780686261655572,0.12369623396756106,2.641154027101859,3.0224360052136747
USA,Ground_vehicles,2020-09-27,1.0 ~ 11.0,1.0,134857.0,2466.8262996041312,60.45961529620265,0.08599279236524615,0.12466271680372543,2.614596053597514,2.973597366098905
USA,Ground_vehicles,2020-09-24,1.0 ~ 11.0,1.0,141350.0,2651.832696565432,60.0881565617262,0.08094984082065794,0.12000431552882913,2.567282207286876,2.9040268128758404
USA,Ground_vehicles,2020-09-21,1.0 ~ 11.0,1.0,144902.0,2744.9231608588007,59.903491808256625,0.07921388248609405,0.11676609018509061,2.5454798415480813,2.86199507253178
USA,Ground_vehicles,2020-09-18,1.0 ~ 11.0,1.0,147039.0,2778.405517502807,59.86783560823999,0.07726140683764171,0.11535578996048668,2.5455889253871415,2.849455994668081
USA,Ground_vehicles,2020-09-15,1.0 ~ 11.0,1.0,147283.0,2762.6190464551073,59.950717258610965,0.07705641520066811,0.11328639422065005,2.5584156352056926,2.8553447444715276
USA,Ground_vehicles,2020-09-12,1.0 ~ 11.0,1.0,146341.0,2694.657882453929,60.23953013851211,0.07711898921013251,0.11254166638194354,2.5929264526004334,2.8848065135539596
USA,Ground_vehicles,2020-09-09,1.0 ~ 11.0,1.0,143472.0,2571.433896691971,60.594022039143525,0.07964996654399466,0.11418283706925393,2.6395687660310023,2.930322780751645
USA,Ground_vehicles,2020-09-06,1.0 ~ 11.0,1.0,138934.0,2413.6506844462633,60.817142384153634,0.08112722587703515,0.11825787784127714,2.676508989880087,2.9807037154332265
USA,Ground_vehicles,2020-09-03,1.0 ~ 11.0,1.0,131508.0,2183.3802067265146,61.23191326763391,0.08457591933570582,0.1214909359126441,2.7355714481248286,3.046829774614472
USA,Ground_vehicles,2020-08-31,1.0 ~ 11.0,1.0,127261.0,2068.3625665626805,61.422486386245595,0.0854935133308712,0.12378332717800426,2.7626512442932243,3.0786390174523217
USA,Ground_vehicles,2020-08-28,1.0 ~ 11.0,1.0,121186.0,1909.3133923021126,61.70266647962636,0.08818609410327925,0.12732650636212103,2.7866624032478993,3.1198220916607533
USA,Ground_vehicles,2020-08-25,1.0 ~ 11.0,1.0,114709.0,1756.5685286246066,62.08431718522522,0.09456511694810346,0.1360712760114725,2.8073269752155454,3.160498042873707
USA,Ground_vehicles,2020-08-22,1.0 ~ 11.0,1.0,112197.0,1703.5861518876022,62.21331443799745,0.09629143381730348,0.13886164514202698,2.8108867438523317,3.17211529720046
USA,Ground_vehicles,2020-08-19,1.0 ~ 11.0,1.0,109264.0,1649.8435547978158,62.374086707424226,0.10026889002782252,0.14410528627910382,2.813579495533753,3.192212073510031
USA,Ground_vehicles,2020-08-16,1.0 ~ 11.0,1.0,107651.0,1621.5815890060962,62.350191452006946,0.10255241474765679,0.15007477868296626,2.7931441417172156,3.1844494709756526
USA,Ground_vehicles,2020-08-13,1.0 ~ 11.0,1.0,107765.0,1622.352375937059,62.241733494177154,0.10234630909850138,0.15263545678095852,2.77528325523129,3.1679497053774415
USA,Ground_vehicles,2020-08-10,1.0 ~ 11.0,1.0,108670.0,1628.8852511097382,62.008342872918014,0.10421652710039568,0.1523361553326585,2.7497269715652894,3.1396824330542006
USA,Ground_vehicles,2020-08-07,1.0 ~ 11.0,1.0,109618.0,1637.736091113816,61.854263533361305,0.1036640880147421,0.1520741119159262,2.738783046579941,3.1211321133390504
USA,Ground_vehicles,2020-08-04,1.0 ~ 11.0,1.0,107595.0,1602.2015944270731,61.73090283005716,0.1017896742413681,0.15039499976764722,2.7315547190854597,3.1035528602630227
USA,Ground_vehicles,2020-07-30,1.0 ~ 11.0,1.0,103969.0,1543.063873389,61.58125123834989,0.09982542873356481,0.16230674527984304,2.7076192903653973,3.0728295934365053
USA,Ground_vehicles,2020-07-27,1.0 ~ 11.0,1.0,107934.0,1591.482878778654,61.21235301202587,0.09610678748123852,0.1491545759445587,2.680685974762355,3.037065336223989
USA,Ground_vehicles,2020-07-24,1.0 ~ 11.0,1.0,110521.0,1622.6157910519914,61.00470544059499,0.09542186552781824,0.1454697297346206,2.663824160114368,3.0174453723726717
USA,Ground_vehicles,2020-07-21,1.0 ~ 11.0,1.0,116021.0,1686.9379121226414,60.65538083622793,0.0919295644753967,0.13569112488256435,2.626587859094474,2.9765657941234775
