name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
f_2a_adtw,,,,,,,971.0,58.54,1.51,1.64,0.18,0.19,137.0,100.0,22.09,3.61,6.09,1.2,F-2A_ADTW
mig_29_9_12_sniper,,,,,,,448.0,51.27,1.14,1.5,0.13,0.16,6.0,,,1.0,,,MiG-29_Sniper
fa_18c_mlu_2_finland,4.0,50.0,0.5,1.0,,,297.0,60.11,1.97,3.07,0.07,0.09,,,,,,,F/A-18C_MLU_2
f_14a_early,121.0,53.55,1.93,1.55,0.05,0.05,282.0,49.2,1.4,1.86,0.12,0.15,,,,,,,F-14A_Early
mig_29_9_12g,,,,,,,145.0,46.78,2.36,2.69,,,,,,,,,◄MiG-29G
jh_7a,8.0,,1.0,1.0,4.0,4.0,476.0,67.08,0.3,0.31,1.6,1.96,,,,,,,JH-7A
fa_18c_switzerland,22.0,,,3.0,,,2155.0,54.87,0.96,1.12,0.29,0.34,86.0,,,2.1,,,◌F/A-18C
f_15a,56.0,50.0,0.95,0.88,0.97,0.86,241.0,37.71,0.97,0.96,0.05,0.07,,,,,,,F-15A
mirage_2000c_s4,,,,,,,283.0,66.75,1.47,1.84,0.1,0.13,,,,,,,Mirage_2000C-S4
su_27,41.0,60.0,2.11,1.37,,,806.0,53.76,1.36,1.7,0.03,0.04,29.0,,,0.4,,,Su-27
f_2a,11.0,100.0,5.0,4.0,,,678.0,57.16,1.76,2.44,0.03,0.04,120.0,93.75,11.88,3.33,1.5,0.4,F-2A
saab_jas39a,,,,,,,334.0,56.66,0.98,1.24,0.96,1.23,14.0,,,2.0,,,JAS39A
fa_18c_late_switzerland,,,,,,,61.0,99.04,1.53,4.21,1.02,1.71,,,,,,,◌F/A-18C_Late
mirage_4000,6.0,,,1.0,,1.0,125.0,65.7,0.96,0.85,0.13,0.11,15.0,,,,,,Mirage_4000
f_15j,6.0,,,3.0,,1.0,35.0,68.0,1.2,1.3,0.16,0.3,8.0,,,0.5,,,F-15J
saab_jas39c_south_africa,12.0,100.0,7.0,7.0,,,423.0,62.17,1.67,2.42,0.54,0.81,10.0,,,1.0,,,JAS39C
f_15a_iaf,,,,,,,,,,,,,,,,,,,Baz
j_11,,,,,,,44.0,50.0,0.77,1.55,,,,,,,,,J-11
harrier_gr7,,,,,,,35.0,100.0,1.0,1.0,2.05,2.05,,,,,,,Harrier_GR.7
mirage_2000c_s5,21.0,100.0,1.0,1.0,4.0,4.0,67.0,58.89,0.78,0.98,0.19,0.27,44.0,,,0.93,,,Mirage_2000C-S5
f_20a,30.0,94.44,2.22,2.08,0.31,0.2,529.0,54.41,1.18,1.57,0.33,0.46,,,,,,,F-20A
su_25sm3,10.0,50.0,,,3.0,6.0,47.0,42.71,0.59,0.87,1.28,2.37,,,,,,,Su-25SM3
mig_23mf_hungary,15.0,100.0,1.0,1.0,1.0,1.0,21.0,,2.82,2.29,,,,,,,,,◔MiG-23MF
mig-21_mf_hungary,,,,,,,16.0,100.0,2.0,2.0,,,,,,,,,◔MiG-21MF
su_22m3_hungary,15.0,100.0,,,2.0,2.0,7.0,50.0,0.5,0.43,1.5,2.43,,,,,,,◔Su-22M3
f-4f,6.0,50.0,1.0,2.0,1.0,2.0,94.0,72.67,0.41,0.32,1.52,1.86,,,,,,,◄F-4F_Early
mig-21_bis_sau_hungary,15.0,,,,,,,,,,,,10.0,,,1.0,,,◔MiG-21bis-SAU
mig-21_mf,6.0,100.0,2.0,2.0,,,272.0,52.53,1.78,1.99,,,,,,,,,◊MiG-21MF
mig_23m,196.0,70.58,1.84,1.6,0.36,0.33,143.0,41.04,1.27,1.73,0.36,0.46,3.0,,,,,,MiG-23M
mig_21_bis_finland,15.0,,,,,,87.0,78.07,1.32,1.43,0.35,0.45,,,,,,,MiG-21bis
f-5c,8.0,,,4.0,,,421.0,51.52,1.33,1.53,0.47,0.53,,,,,,,F-5C
j_7e,,,,,,,249.0,62.54,1.36,2.37,0.09,0.15,,,,,,,J-7E
mig-21_smt,57.0,41.67,0.58,0.51,0.58,0.53,351.0,51.85,1.29,1.55,0.15,0.17,3.0,,,,,,MiG-21SMT
f-5e,23.0,,,,,,407.0,52.99,1.14,1.3,0.71,0.72,30.0,,,4.0,,1.0,F-5E
f-4e,16.0,,3.0,3.0,1.0,1.0,838.0,51.02,1.42,1.67,0.43,0.5,105.0,90.0,4.5,0.74,2.7,0.32,F-4E_Phantom_II
f-4f_late,6.0,100.0,,,4.17,4.17,263.0,58.68,0.73,0.63,2.65,2.14,5.0,,,,,,◄F-4F
q_5l,,,,,,,34.0,14.29,,,2.86,2.32,,,,,,,Q-5L
amx_a_1a_brazil,,,,,,,23.0,50.0,0.92,1.83,0.97,1.92,96.0,50.0,0.39,0.37,1.28,1.09,AMX_A-1A
saab_ja37,,,,,,,183.0,64.66,2.43,3.52,0.05,0.06,,,,,,,JA37C
mirage_5ba,,,,,,,,,,,,,,,,,,,Mirage_5BA
f-104g_belgium,,,,,,,9.0,,,1.0,,,,,,,,,F-104G
mig_27m,63.0,75.0,1.38,1.61,2.97,4.0,52.0,20.02,0.2,0.3,2.36,1.99,34.0,,,,,0.31,MiG-27M
a_6e_tram,56.0,49.17,1.52,1.31,,,61.0,45.45,,,5.82,4.83,,,,,,,A-6E_TRAM
f-4ej,24.0,66.67,1.7,1.7,0.7,0.7,475.0,53.04,1.12,1.37,2.19,2.72,15.0,,,0.4,,,F-4EJ_Phantom_II
f-8e,3.0,,,,,,29.0,,,,,,,,,,,,F-8E
saab_j35xs,,,,,,,496.0,55.55,1.9,2.39,0.33,0.35,,,,,,,Saab_J35XS
f-104s_cb,,,,,,,75.0,65.91,0.45,0.39,1.64,0.94,4.0,,,,,,F-104S_TAF
av_8b_na,,,,,,,192.0,56.9,0.92,1.29,1.59,2.15,202.0,100.0,1.32,0.59,16.16,9.92,AV-8B_(NA)
mig_23ml,15.0,,,4.92,,,2313.0,53.45,1.1,1.26,0.08,0.08,145.0,23.81,3.69,0.82,,,MiG-23ML
a_10c,119.0,75.83,0.87,0.87,17.52,17.52,193.0,50.27,0.86,1.07,3.46,4.67,114.0,100.0,7.0,2.37,64.42,18.59,A-10C
j_7d,58.0,,2.21,1.1,,,2324.0,59.98,1.61,2.17,0.41,0.53,,,,,,,J-7D
f-8e_fn,,,,,,,,,,,,,,,,,,,F-8E(FN)
kfir_canard,,,,,,,252.0,52.16,1.82,2.0,0.77,0.82,,,,,,,Kfir_Canard
