name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br
fr_cckw_353_bofors,397.0,39.75,1.6,1.3,0.15,0.13,441.0,48.64,0.08,0.07,0.22,0.19,,,,,,,CCKW_353_AA,CCKW_353_AA,France,Ground_vehicles,3.0,3.0,3.0
fr_m4a4_cn_75_50,2315.0,56.7,0.06,0.06,2.27,2.57,3501.0,40.62,,,2.46,1.89,20.0,,,,,0.36,M4A4_(SA50),M4A4_(SA50),France,Ground_vehicles,4.7,4.7,4.7
germ_pzsflk40_sturer_emil,454.0,47.94,0.01,0.01,1.28,1.57,374.0,24.95,,,2.18,1.95,42.0,50.0,,,1.0,1.58,Sturer_Emil,Sturer_Emil,Germany,Ground_vehicles,5.0,5.0,5.0
germ_infanterie_kampfpanzer_churchill,1710.0,56.75,0.05,0.05,2.69,2.57,5661.0,62.82,,,2.5,2.27,8.0,,,,,,Pz.Kpfw._Churchill,Pz.Kpfw._Churchill_(Germany),Germany,Ground_vehicles,4.0,4.0,4.0
germ_sturmpanzer_IV_brummbar,984.0,65.83,0.02,0.03,2.9,3.73,136.0,26.02,,,2.62,2.16,,,,,,,Brummbär,Brummbar,Germany,Ground_vehicles,4.7,4.7,4.7
it_semovente_m43_75_46,687.0,61.05,,0.02,2.65,3.16,976.0,49.56,,,2.64,2.28,,,,,,,75/46_M43,75/46_M43,Italy,Ground_vehicles,4.3,4.3,4.3
fr_arl_44,271.0,54.44,,,1.33,1.24,484.0,33.83,,,2.28,1.06,22.0,100.0,,,1.0,1.0,ARL-44,ARL-44,France,Ground_vehicles,5.7,5.7,5.7
fr_amx_13_fl_11,2271.0,51.12,0.03,0.03,2.53,2.46,1546.0,44.45,,,2.37,1.72,96.0,100.0,,,3.89,3.49,AMX-13_(FL11),AMX-13_(FL11),France,Ground_vehicles,3.3,3.3,3.3
fr_arl_44_acl1,421.0,57.26,,,1.33,0.95,231.0,18.07,,,3.4,1.59,,,,,,,ARL-44_(ACL-1),ARL-44_(ACL-1),France,Ground_vehicles,4.0,4.0,4.0
us_m4a2_76w_sherman,10160.0,58.36,0.1,0.1,2.28,2.8,10442.0,74.83,,,1.93,2.23,,,,,,,M4A2_(76)_W,M4A2_(76)_W,USA,Ground_vehicles,5.0,5.0,5.0
ussr_kv_220,1409.0,70.12,0.07,0.07,5.01,4.83,693.0,63.37,,,6.29,3.7,33.0,100.0,,,3.24,3.58,KV-220,KV-220,USSR,Ground_vehicles,5.7,5.7,5.7
it_semovente_m43_75_34,588.0,61.18,,,3.07,3.83,476.0,28.76,,,1.76,1.57,12.0,,,,,,75/34_M43,75/34_M43,Italy,Ground_vehicles,3.3,3.3,3.3
fr_m4a3e2_sherman_jumbo,1381.0,57.0,,,3.09,3.0,1478.0,42.12,,,3.74,2.64,,,,,,,M4A3E2,M4A3E2,USA,Ground_vehicles,5.0,5.0,5.0
us_m24_chaffee,6806.0,60.77,0.02,0.05,2.65,2.98,8727.0,60.38,,,1.81,1.7,,,,,,,M24,M24,USA,Ground_vehicles,3.3,3.3,3.3
germ_pzkpfw_V_ersatz_m10,2431.0,67.0,0.08,0.07,3.16,3.0,3053.0,53.0,,,3.05,2.38,471.0,100.0,,,6.79,3.87,Ersatz_M10,Ersatz_M10,Germany,Ground_vehicles,5.7,5.7,5.7
us_t20,12867.0,68.32,,,3.7,4.0,27436.0,75.69,,,2.58,2.89,278.0,66.4,,,4.33,2.56,T20,T20,USA,Ground_vehicles,5.3,5.3,5.3
germ_pzkpfw_VI_ausf_h1_tiger_animal_version,631.0,63.76,0.07,0.07,4.25,4.92,352.0,44.81,,,2.9,2.83,2.0,100.0,,,2.0,,␠Tiger,Tiger_(Germany),Germany,Ground_vehicles,5.3,5.3,5.3
us_m4a1_76w_sherman,5226.0,56.29,0.1,0.1,2.21,2.38,9909.0,77.14,,,2.51,2.69,168.0,100.0,0.5,0.13,12.22,3.74,M4A1_(76)_W,M4A1_(76)_W,USA,Ground_vehicles,5.0,4.7,4.7
jp_pzkpfw_VI_ausf_e_tiger,387.0,51.44,0.1,0.09,4.34,3.68,1126.0,55.33,,,2.21,2.07,,,,,,,Heavy_Tank_No.6,Heavy_Tank_No.6_(Japan),Japan,Ground_vehicles,5.7,5.7,5.7
germ_pz_IV_L70,2917.0,54.43,0.01,0.01,3.55,3.31,3245.0,34.67,,,3.05,2.67,287.0,82.58,,,5.11,3.29,Panzer_IV/70(V),Panzer_IV/70(V),Germany,Ground_vehicles,5.3,5.3,5.3
jp_type_5_chi_ri,574.0,59.0,0.1,0.09,1.87,1.79,798.0,63.48,,,1.97,1.43,13.0,,,,,0.54,Chi-Ri_II,Chi-Ri_II,Japan,Ground_vehicles,5.0,5.0,5.0
uk_a_22b_mk_3_churchill_1942,1237.0,57.17,0.05,0.05,1.81,1.88,480.0,66.84,,,4.02,2.67,,,,,,,Churchill_Mk_III,Churchill_Mk_III,Britain,Ground_vehicles,4.0,4.0,4.0
jp_type_95_so_ki,1019.0,43.49,1.6,3.39,0.27,0.58,761.0,35.47,0.1,0.1,0.05,0.04,10.0,,,,,,So-Ki,So-Ki,Japan,Ground_vehicles,3.3,3.3,3.3
ussr_su_152,420.0,54.88,,,1.6,1.53,229.0,16.61,,,1.55,0.94,4.0,,,,,,SU-152,SU-152,USSR,Ground_vehicles,5.0,5.0,5.0
jp_type_4_chi_to,1604.0,57.51,0.08,0.08,2.8,3.1,894.0,70.49,,,3.05,2.47,11.0,,,,,1.09,Chi-To,Chi-To,Japan,Ground_vehicles,4.3,4.3,4.3
