name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,cls,nation,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
cn_type_62,351.0,57.08,0.05,0.05,1.23,1.27,1022.0,59.44,,,2.01,1.84,236.0,48.17,,,2.05,1.02,Type_62,Type_62,Ground_vehicles,China,6.7,6.7,6.7,4640.0,12213.0,10864.0,False,190,110,190,150,190,180
cn_su_100_1945,376.0,56.81,0.05,0.05,1.85,1.94,365.0,33.75,,,3.87,1.96,34.0,100.0,,,2.0,1.17,SU-100_(China),SU-100_(China),Ground_vehicles,China,6.3,6.3,6.7,3619.0,6115.0,6614.0,False,190,120,190,150,190,180
germ_mkpz_m48a2c,3987.0,51.74,0.02,0.04,0.96,1.11,4876.0,47.48,,,1.3,1.25,126.0,22.0,,,5.32,2.77,M48A2_C,M48A2_C,Ground_vehicles,Germany,7.3,7.0,7.3,4520.0,5048.0,10850.0,False,208,130,208,150,208,180
cn_cm11,114.0,59.22,,,0.93,0.93,506.0,55.52,,,1.25,1.07,18.0,,,,,1.0,CM11,CM11,Ground_vehicles,China,9.7,9.3,9.3,3164.0,4370.0,5726.0,False,226,120,226,150,226,180
cn_m48a1_patton_III,318.0,51.57,0.06,0.07,1.27,1.43,363.0,47.18,,,2.6,2.06,43.0,,,,,0.78,M48A1_(China),M48A1_(China),Ground_vehicles,China,7.3,7.3,7.3,4689.0,9094.0,10913.0,False,208,130,208,150,208,180
cn_m113a1_tow,246.0,51.99,0.08,0.12,0.6,0.71,142.0,55.79,,,0.68,0.78,,,,,,,M113A1_(TOW)_(China),M113A1_(TOW)_(China),Ground_vehicles,China,8.0,8.0,8.0,2155.0,2586.0,6466.0,False,208,110,208,150,208,170
germ_vt_1_2,40.0,16.67,,,1.83,1.47,1323.0,62.01,,,1.69,1.45,,,,,,,VT1-2,VT1-2,Ground_vehicles,Germany,8.3,8.3,8.3,2150.0,6585.0,8736.0,False,220,90,220,130,220,170
us_m1a2_abrams,3765.0,60.99,0.02,0.03,2.47,2.7,10190.0,52.56,,,2.26,1.94,1054.0,80.1,0.04,0.02,3.83,2.34,M1A2_Abrams,M1A2_Abrams,Ground_vehicles,USA,10.3,10.3,10.3,7505.0,14852.0,20761.0,False,238,150,238,150,238,180
ussr_bmp_3,352.0,52.47,0.1,0.09,0.47,0.44,3728.0,55.09,,,1.02,0.93,899.0,64.32,0.23,0.06,3.98,1.14,BMP-3,BMP-3,Ground_vehicles,USSR,9.0,9.0,9.0,2192.0,9135.0,15164.0,False,232,100,232,130,232,140
fr_amd_35,35.0,,,,1.95,1.34,166.0,11.31,,,4.01,2.16,,,,,,,AMD.35,AMD.35,Ground_vehicles,France,1.0,1.0,1.0,,,,False,100,10,100,10,100,10
uk_centurion_action_x,155.0,45.83,,,1.87,1.71,1250.0,53.81,,,1.54,1.39,,,,,,,Centurion_Action_X,Centurion_Action_X,Ground_vehicles,Britain,6.7,6.7,6.7,2800.0,3600.0,4000.0,True,380,200,380,280,380,320
cn_ztz_96,177.0,67.72,,,2.0,1.53,764.0,59.15,,,1.63,1.36,121.0,31.06,,,3.19,1.08,ZTZ96,ZTZ96,Ground_vehicles,China,9.3,9.3,9.3,2235.0,5589.0,13893.0,False,232,130,232,150,232,160
fr_amx_30_ACRA,246.0,56.6,0.16,0.17,1.37,1.49,566.0,54.6,,,1.34,1.34,16.0,100.0,,,2.2,1.1,AMX-30_ACRA,AMX-30_ACRA,Ground_vehicles,France,8.3,8.3,8.3,3616.0,6645.0,6932.0,False,226,140,226,150,226,160
uk_vickers_mk7,824.0,53.32,,,1.62,1.8,2440.0,47.54,,,1.7,1.56,65.0,,,,,0.48,Vickers_Mk.7,Vickers_Mk.7,Ground_vehicles,Britain,9.7,9.7,9.7,3616.0,7987.0,4370.0,False,226,140,226,150,226,150
sw_strv_103_0,255.0,59.94,,,5.66,2.5,1094.0,71.24,,,6.42,1.99,69.0,53.57,,,1.75,2.53,Strv_103-0,Strv_103-0,Ground_vehicles,Sweden,7.7,7.7,7.7,2400.0,2900.0,3400.0,True,404,200,404,280,404,320
us_merkava_mk_2b_late,1966.0,62.23,0.06,0.06,3.0,3.33,3903.0,52.69,,,1.78,1.66,140.0,54.55,,,4.66,2.11,_Merkava_Mk.2B,Merkava_Mk.2B_(USA),Ground_vehicles,USA,9.0,9.0,9.0,4973.0,6178.0,9192.0,False,220,140,220,150,220,170
germ_le_kpz_m41,972.0,52.99,0.07,0.06,0.95,1.08,4247.0,57.81,,,1.07,1.0,,,,,,,leKPz_M41,LeKPz_M41,Ground_vehicles,Germany,6.7,6.3,6.7,5501.0,5030.0,6287.0,False,184,110,184,150,184,170
fr_aml_90,172.0,61.4,,,2.11,1.68,911.0,64.17,,,2.02,1.55,75.0,100.0,,,1.63,0.52,AML-90,AML-90,Ground_vehicles,France,6.7,6.7,6.7,5023.0,7114.0,8566.0,False,190,120,190,150,190,180
uk_rooikat_76,472.0,51.34,0.1,0.1,1.41,1.37,4025.0,64.44,,,2.1,1.67,39.0,,,,,0.36,Rooikat_Mk.1D,Rooikat_Mk.1D,Ground_vehicles,Britain,8.3,8.3,8.3,4284.0,6170.0,9032.0,False,220,110,220,140,220,150
us_cruiser_omaha_class_raleigh,,,,,,,,,,,,,,,,,,,USS_Raleigh_(CL-7),USS_Raleigh_(CL-7),Fleet,USA,5.3,5.3,5.3,3419.0,5005.0,,False,184,130,184,150,184,100
germ_cruiser_koln,,,,,,,,,,,,,,,,,,,KMS_Köln,HMS_Kent_(54),Fleet,Britain,5.7,5.7,5.7,3588.0,4940.0,,False,190,150,190,150,190,100
ussr_cruiser_krasnyi_krim,,,,,,,,,,,,,,,,,,,Krasny_Krym,Krasny_Krym,Fleet,USSR,5.3,5.3,5.3,3536.0,5265.0,,False,184,150,184,150,184,100
uk_cruiser_dido,,,,,,,,,,,,,,,,,,,HMS_Dido,HMS_Dido,Fleet,Britain,5.0,5.0,5.0,4033.0,5477.0,,False,184,120,184,150,184,100
us_cruiser_omaha_class_trenton,,,,,,,,,,,,,,,,,,,USS_Trenton_(CL-11),USS_Trenton_(CL-11),Fleet,USA,5.0,5.0,5.0,3510.0,4680.0,,False,178,130,178,150,178,100
germ_cruiser_emden_1944,,,,,,,,,,,,,,,,,,,KMS_Emden,Emden,Fleet,Germany,5.0,5.0,5.0,4160.0,6110.0,,False,178,140,178,150,178,100
ussr_cruiser_krasnyi_kavkaz,,,,,,,,,,,,,,,,,,,Krasny_Kavkaz,Krasny_Kavkaz,Fleet,USSR,5.0,5.0,5.0,3395.0,4852.0,,False,178,140,178,150,178,100
uk_cruiser_enterprise_d52,,,,,,,,,,,,,,,,,,,HMS_Enterprise,HMS_Enterprise,Fleet,Britain,5.0,5.0,5.0,3549.0,5018.0,,False,178,130,178,150,178,100
us_destroyer_sumner,,,,,,,,,,,,,,,,,,,Sumner_(DD-692),Sumner_(DD-692),Fleet,USA,4.7,4.7,4.7,4810.0,6396.0,,False,166,120,166,150,166,100
germ_destroyer_class1934a_1940,,,,,,,,,,,,,,,,,,,Type_1934A,Type_1936,Fleet,Germany,4.3,4.3,4.3,3003.0,4043.0,,False,160,100,160,130,160,100
ussr_destroyer_pr20_tashkent,,,,,,,,,,,,,,,,,,,Tashkent_(leader),Tashkent_(leader),Fleet,USSR,4.7,4.7,4.7,4030.0,5512.0,,False,172,110,172,150,172,100
ussr_destroyer_moskva,,,,,,,,,,,,,,,,,,,Moskva_(leader),Moskva_(leader),Fleet,USSR,4.3,4.3,4.3,1872.0,2847.0,,False,154,100,154,130,154,100
us_destroyer_farragut_1942,,,,,,,,,,,,,,,,,,,Farragut_(DD-355),Farragut_(DD-355),Fleet,USA,4.0,4.0,4.0,2262.0,2223.0,,False,148,150,148,130,148,100
us_destroyer_fletcher,,,,,,,,,,,,,,,,,,,Fletcher_(DD-445),Fletcher_(DD-445),Fleet,USA,4.3,4.3,4.3,3380.0,4992.0,,False,160,110,160,140,160,100
us_destroyer_fletcher_cowell,,,,,,,,,,,,,,,,,,,Cowell_(DD-547),Cowell_(DD-547),Fleet,USA,4.3,4.3,4.3,2400.0,3600.0,,True,308,200,308,280,308,100
us_destroyer_clemson_litchfield,,,,,,,,,,,,,,,,,,,Clemson_(DD-336),Clemson_(DD-336),Fleet,USA,3.7,3.7,3.7,930.0,930.0,,False,136,150,136,120,136,100
us_destroyer_clemson_barker,,,,,,,,,,,,,,,,,,,Clemson_(DD-213),Clemson_(DD-213),Fleet,USA,3.7,3.7,3.7,1339.0,1183.0,,False,136,150,136,120,136,100
germ_destroyer_class1936_z20,,,,,,,,,,,,,,,,,,,Type_1936,Type_1936,Fleet,Germany,4.3,4.3,4.3,3003.0,4043.0,,False,160,100,160,130,160,100
germ_destroyer_class1939_t22,,,,,,,,,,,,,,,,,,,Type_1939,Type_1936,Fleet,Germany,4.3,4.3,4.3,3003.0,4043.0,,False,160,100,160,130,160,100
germ_kanonenboot_k2,,,,,,,,,,,,,,,,,,,Kanonenboot_K-2,Kanonenboot_K-2,Fleet,Germany,3.7,3.7,3.7,2892.0,3696.0,,False,148,150,148,120,148,100
germ_destroyer_class1936_z20_karlgalster,,,,,,,,,,,,,,,,,,,Z-20_Karl_Galster,Z20_Karl_Galster,Fleet,Germany,4.3,4.3,4.3,2210.0,2600.0,,True,308,200,308,260,308,100
germ_destroyer_class1924_leopard1932,,,,,,,,,,,,,,,,,,,Type_1924,Type_1924_Leopard,Fleet,Germany,3.7,3.7,3.7,1674.0,1661.0,,False,136,120,136,120,136,100
ussr_destroyer_7y,,,,,,,,,,,,,,,,,,,Pr._7U,Pr._7U,Fleet,USSR,4.3,4.3,4.3,2444.0,3510.0,,False,160,100,160,130,160,100
ussr_destroyer_frunze,,,,,,,,,,,,,,,,,,,Frunze,Frunze,Fleet,USSR,3.7,3.7,3.7,1600.0,1587.0,,False,136,150,136,120,136,100
